Sample_id	Day	Group	PCoA1	PCoA2
HB001	0d	Control	-0.248412396	-0.24683582
HB002	0d	0.03%DAPr	-0.232809067	-0.153118093
HB004	0d	0.02%DAPr	0.350808258164004	-0.119191644
HB005	0d	0.03%DAPr	-0.159711161	-0.175432807
HB006	0d	Control	-0.394415001	-0.243299995
HB007	0d	0.03%DAPr	0.325880618205209	-0.147734947
HB010	0d	0.02%DAPr	0.298734495169892	-0.18201363
HB011	0d	0.02%DAPr	-0.241071149	-0.122207058
HB013	0d	Control	0.376959644947878	-0.135929711
HB014	0d	0.02%DAPr	-0.331779435	-0.199746623
HB016	0d	Control	-0.368509457	-0.210039241
HB018	0d	0.02%DAPr	0.295147599459259	-0.152761344
HB020	0d	0.03%DAPr	-0.015703337	0.331842751330973
HB021	0d	0.02%DAPr	0.15210831906322	-0.057898641
HB022	0d	0.03%DAPr	-0.080594517	-0.050787525
HB026	0d	0.02%DAPr	-0.120060194	-0.121532776
HB027	0d	Control	0.0522719526581429	-0.241770074
HB028	0d	0.02%DAPr	0.212927145535937	0.159037276944317
HB029	0d	0.03%DAPr	-0.242225256	-0.20594599
HB030	0d	0.03%DAPr	-0.213312135	0.286046241073602
HB031	0d	0.02%DAPr	0.0198881108347423	-0.061200325
HB032	0d	0.03%DAPr	0.0283824713589178	-0.206957213
HB033	0d	0.02%DAPr	-0.207986459	-0.263257232
HB034	0d	0.02%DAPr	0.0899802169345235	0.217607613669413
HB035	0d	Control	-0.167822494	0.192463323097861
HB036	0d	Control	-0.222419144	-0.141322738
HB037	0d	0.02%DAPr	-0.132441171	0.266434011887261
HB038	0d	Control	-0.200779185	0.000554293397897235
HB039	0d	Control	-0.331909674	-0.151741472
HB040	0d	0.03%DAPr	0.257742164059889	-0.150050756
HB041	0d	0.03%DAPr	0.268216369157829	-0.217382375
HB042	0d	0.02%DAPr	-0.263349986	-0.250129867
HB043	0d	Control	-0.073192904	-0.103051557
HB044	0d	0.02%DAPr	0.168239631956591	0.103148028794086
HB045	0d	0.03%DAPr	-0.195455487	-0.112871085
HB046	0d	0.02%DAPr	-0.252836952	-0.145628187
HB048	0d	Control	0.402814626958513	-0.072509944
HB049	0d	0.03%DAPr	-0.100926653	0.287773190982496
HB050	0d	Control	-0.227895048	-0.257496041
HB052	0d	0.02%DAPr	-0.434578846	-0.242865169
HB053	0d	0.03%DAPr	-0.35560458	-0.213627352
HB054	0d	0.03%DAPr	-0.308242511	0.182617622939795
HB055	0d	Control	-0.443586666	-0.178150655
HB057	0d	Control	-0.402116548	-0.11485879
HB058	0d	0.02%DAPr	-0.403030912	-0.216339504
HB059	0d	0.02%DAPr	-0.400220698	-0.195204438
HB060	0d	Control	-0.36482059	-0.23431626
HB061	0d	0.02%DAPr	-0.458819459	-0.257043299
HB062	0d	0.03%DAPr	-0.447185618	-0.226571231
HB064	0d	Control	0.322165686282218	-0.139745456
HB066	0d	0.02%DAPr	-0.429103969	-0.148340654
HB068	0d	Control	-0.331405002	0.0177530788504799
HB070	0d	0.03%DAPr	-0.40653583	-0.219017831
HB073	0d	Control	-0.441755442	-0.203692664
HB074	0d	Control	-0.43854241	-0.250097394
HB075	0d	0.03%DAPr	-0.360637347	-0.191100505
HB076	0d	0.03%DAPr	-0.43803477	-0.191891624
HB077	0d	Control	-0.449931423	-0.237296882
HB078	0d	Control	0.17895695552136	-0.203580527
HB079	0d	Control	-0.430523091	-0.24493204
HB080	0d	0.03%DAPr	-0.359897866	-0.210216265
HB081	0d	0.03%DAPr	-0.416148395	-0.171306208
HB082	0d	0.02%DAPr	-0.32064002	-0.191556167
HB085	0d	0.02%DAPr	-0.31207251	-0.219561483
HB086	0d	0.03%DAPr	0.0464357441019411	-0.181773788
HB087	0d	Control	0.127939331705679	-0.082050287
HB088	0d	Control	-0.271353383	-0.123759253
HB089	0d	0.03%DAPr	-0.419469801	-0.219911937
HB090	0d	0.03%DAPr	-0.267064275	-0.105277182
HB091	0d	0.02%DAPr	-0.192156991	-0.123204102
HB094	0d	0.03%DAPr	-0.183559235	-0.103807722
HB095	0d	Control	0.0275392565058456	-0.139342908
HB096	0d	0.03%DAPr	-0.363533963	-0.181869592
HB098	0d	0.02%DAPr	-0.411316566	-0.171745136
HB099	0d	0.02%DAPr	-0.401913774	-0.065783125
HB14D001	14d	Control	-0.039456094	0.440754380168955
HB14D002	14d	0.03%DAPr	0.201389063648002	0.00102956075171173
HB14D004	14d	0.02%DAPr	0.446280255060209	-0.059011223
HB14D005	14d	0.03%DAPr	0.457164916446209	-0.062363744
HB14D006	14d	Control	-0.266386605	0.122427824469433
HB14D007	14d	0.03%DAPr	0.438018010548043	-0.061214644
HB14D010	14d	0.02%DAPr	0.452861894436286	-0.062564025
HB14D011	14d	0.02%DAPr	0.45809256019013	-0.061185538
HB14D013	14d	Control	-0.286409687	0.245250009220024
HB14D014	14d	0.02%DAPr	0.439769127183334	-0.049713839
HB14D016	14d	Control	-0.182636577	0.474508462607056
HB14D018	14d	0.02%DAPr	0.462717913142183	-0.074326042
HB14D020	14d	0.03%DAPr	0.457334564241556	-0.070562288
HB14D021	14d	0.02%DAPr	-0.021977758	0.404135439255126
HB14D022	14d	0.03%DAPr	0.405658074120335	-0.043771518
HB14D026	14d	0.02%DAPr	0.249985096444752	0.0272897306850402
HB14D027	14d	Control	-0.215972512	0.407083076296046
HB14D028	14d	0.02%DAPr	0.433933681217848	-0.034907358
HB14D029	14d	0.03%DAPr	0.46132766963707	-0.067949883
HB14D030	14d	0.03%DAPr	0.440371164969831	-0.065787406
HB14D031	14d	0.02%DAPr	0.205936829579322	0.192196063746509
HB14D032	14d	0.03%DAPr	0.458552071296409	-0.070671721
HB14D033	14d	0.02%DAPr	0.458732320644586	-0.063405167
HB14D034	14d	0.02%DAPr	0.466259880321702	-0.064650057
HB14D035	14d	Control	-0.189530783	0.359352967650084
HB14D036	14d	Control	-0.264114272	0.187934997987671
HB14D037	14d	0.02%DAPr	-0.081532746	0.392451169686508
HB14D038	14d	Control	-0.24274257	0.417503403768625
HB14D039	14d	Control	-0.247095486	0.232676913253512
HB14D040	14d	0.03%DAPr	0.469909335987101	-0.069036124
HB14D041	14d	0.03%DAPr	0.442179262045865	-0.033609849
HB14D042	14d	0.02%DAPr	-0.126893327	0.0722467591479776
HB14D043	14d	Control	-0.219975954	0.205202397590441
HB14D044	14d	0.02%DAPr	0.443962852584151	-0.023722141
HB14D045	14d	0.03%DAPr	-0.053402301	0.386082737290575
HB14D046	14d	0.02%DAPr	0.121919540829554	0.216328164504483
HB14D048	14d	Control	-0.301383343	0.157641291320403
HB14D049	14d	0.03%DAPr	-0.063123659	0.422275204415216
HB14D050	14d	Control	-0.190093086	0.318122394883533
HB14D052	14d	0.02%DAPr	0.468317287173352	-0.07453213
HB14D053	14d	0.03%DAPr	0.454332680552282	-0.050447307
HB14D054	14d	0.03%DAPr	0.46719131878635	-0.068825539
HB14D055	14d	Control	-0.257271183	0.297136845215021
HB14D057	14d	Control	-0.08420653	0.139952807322553
HB14D058	14d	0.02%DAPr	-0.03137587	0.428657844819664
HB14D059	14d	0.02%DAPr	0.457946163770684	-0.067707058
HB14D060	14d	Control	-0.220836777	0.392004043178131
HB14D061	14d	0.02%DAPr	0.463793163121538	-0.068789747
HB14D062	14d	0.03%DAPr	0.068682165411623	0.319513349884916
HB14D064	14d	Control	-0.113933508	0.468143872472224
HB14D066	14d	0.02%DAPr	0.466873753499953	-0.07726475
HB14D068	14d	Control	-0.173476676	0.303040124351317
HB14D070	14d	0.03%DAPr	0.389680942870057	0.054796885876587
HB14D073	14d	Control	-0.092755912	0.247176116369877
HB14D074	14d	Control	-0.174872643	0.395044089373399
HB14D075	14d	0.03%DAPr	0.465960447846443	-0.072473912
HB14D076	14d	0.03%DAPr	0.449488686501911	-0.030289427
HB14D077	14d	Control	-0.078025216	0.453493904250149
HB14D078	14d	Control	-0.118513667	0.384582738136086
HB14D079	14d	Control	-0.137305344	0.414917102225772
HB14D080	14d	0.03%DAPr	0.460617888783489	-0.068613443
HB14D081	14d	0.03%DAPr	0.441427923092915	-0.056106332
HB14D082	14d	0.02%DAPr	0.439665385246177	-0.044952787
HB14D085	14d	0.02%DAPr	0.45744483676333	-0.063363798
HB14D086	14d	0.03%DAPr	0.446623541965617	-0.05912784
HB14D087	14d	Control	-0.039949573	0.39905110665892
HB14D088	14d	Control	-0.185538423	0.42072213849747
HB14D089	14d	0.03%DAPr	0.379870459543014	-0.015541837
HB14D090	14d	0.03%DAPr	0.247607322912718	-0.025649942
HB14D091	14d	0.02%DAPr	0.463746760143546	-0.074561685
HB14D094	14d	0.03%DAPr	0.0399433977938862	0.163041584438217
HB14D095	14d	Control	-0.283710133	0.107380952046453
HB14D096	14d	0.03%DAPr	0.461266001351659	-0.06734906
HB14D098	14d	0.02%DAPr	0.349563227480144	0.0735788084773774
HB14D099	14d	0.02%DAPr	0.458380928340852	-0.066273396
